sigla_provincia;denominazione_ita;codice_belfiore;data_inizio_validita;data_fine_validita
PD;ABANO;A001;19/11/1866;13/11/1924
PD;"ABANO TERME";A001;14/11/1924;
CO;"ABBADIA SOPRA ADDA";A002;23/02/1863;06/03/1928
TO;"ABBADIA ALPINA";A003;01/04/1864;05/12/1928
MI;"ABBADIA CERRETO";A004;17/03/1861;15/04/1992
LO;"ABBADIA CERRETO";A004;16/04/1992;
CO;"ABBADIA LARIANA";A005;06/03/1928;15/04/1992
LC;"ABBADIA LARIANA";A005;16/04/1992;
SI;"ABBADIA SAN SALVATORE";A006;22/07/1867;
CA;ABBASANTA;A007;17/03/1861;27/07/1927
CA;ABBASANTA;A007;02/11/1934;19/08/1974
OR;ABBASANTA;A007;20/08/1974;
CH;ABBATEGGIO;A008;17/03/1861;11/01/1927
PE;ABBATEGGIO;A008;12/01/1927;22/05/1929
PE;ABBATEGGIO;A008;10/01/1947;
FU;ABBAZIA;A009;22/12/1931;15/09/1947
MI;ABBIATEGRASSO;A010;05/04/1869;
CO;ABBIATEGUAZZONE;A011;17/03/1861;11/01/1927
VA;ABBIATEGUAZZONE;A011;12/01/1927;18/06/1928
PT;ABETONE;A012;26/07/1936;31/12/2016
PZ;ABRIOLA;A013;17/03/1861;
SR;BISCARI;A014;17/03/1861;11/01/1927
RG;BISCARI;A014;12/01/1927;08/07/1938
RG;ACATE;A014;09/07/1938;
AV;ACCADIA;A015;17/03/1861;05/08/1927
FG;ACCADIA;A015;06/08/1927;
CN;ACCEGLIO;A016;17/03/1861;
PZ;ACCETTURA;A017;17/03/1861;11/01/1927
MT;ACCETTURA;A017;12/01/1927;
AQ;ACCIANO;A018;17/03/1861;
AQ;ACCUMOLI;A019;17/03/1861;11/01/1927
RI;ACCUMOLI;A019;12/01/1927;
PZ;ACERENZA;A020;17/03/1861;
TN;ACERETO;A021;16/10/1920;13/02/1923
TN;ACERETO;A021;14/02/1923;11/01/1927
BZ;ACERETO;A021;12/01/1927;08/02/1929
TN;ACERNES;A022;16/10/1920;13/02/1923
TN;ACERNES;A022;14/02/1923;26/04/1923
TN;CERMES;A022;27/04/1923;11/01/1927
BZ;CERMES;A022;12/01/1927;
SA;ACERNO;A023;17/03/1861;
CE;ACERRA;A024;17/03/1861;11/01/1927
NA;ACERRA;A024;12/01/1927;
CT;"ACI BONACCORSI";A025;17/03/1861;
CT;"ACI CASTELLO";A026;17/03/1861;
CT;"ACI CATENA";A027;17/03/1861;
CT;ACIREALE;A028;17/03/1861;
CT;"ACI SANT'ANTONIO";A029;17/03/1861;
MC;ACQUACANINA;A031;17/03/1861;31/12/2016
CE;ACQUAFONDATA;A032;23/07/1902;11/01/1927
FR;ACQUAFONDATA;A032;12/01/1927;
CS;ACQUAFORMOSA;A033;17/03/1861;
BS;ACQUAFREDDA;A034;17/03/1861;
PU;ACQUALAGNA;A035;17/03/1861;
BS;ACQUALUNGA;A036;17/03/1861;31/12/1927
MN;"ACQUANEGRA SUL CHIESE";A038;01/07/1868;
CR;"ACQUANEGRA CREMONESE";A039;01/01/1868;
RM;ACQUAPENDENTE;A040;15/01/1871;11/01/1927
VT;ACQUAPENDENTE;A040;12/01/1927;
CS;ACQUAPPESA;A041;17/03/1861;25/01/1928
CS;ACQUAPPESA;A041;22/02/1945;
LE;"ACQUARICA DEL CAPO";A042;17/03/1861;14/05/2019
CZ;ACQUARO;A043;17/03/1861;15/04/1992
VV;ACQUARO;A043;16/04/1992;
AP;ACQUASANTA;A044;25/12/1865;14/12/1957
AP;"ACQUASANTA TERME";A044;15/12/1957;
PG;ACQUASPARTA;A045;17/03/1861;11/01/1927
TR;ACQUASPARTA;A045;12/01/1927;
CO;ACQUATE;A046;17/03/1861;11/01/1924
AP;"ACQUAVIVA PICENA";A047;24/11/1862;
BA;"ACQUAVIVA DELLE FONTI";A048;19/01/1863;
CL;"ACQUAVIVA PLATANI";A049;31/10/1862;
CB;"ACQUAVIVA COLLECROCE";A050;17/03/1861;
CB;"ACQUAVIVA D'ISERNIA";A051;17/03/1861;31/05/1928
CB;"ACQUAVIVA D'ISERNIA";A051;26/04/1946;02/03/1970
IS;"ACQUAVIVA D'ISERNIA";A051;03/03/1970;
AL;ACQUI;A052;17/03/1861;23/05/1956
AL;"ACQUI TERME";A052;24/05/1956;
CS;ACRI;A053;17/03/1861;
RM;ACUTO;A054;15/01/1871;11/01/1927
FR;ACUTO;A054;12/01/1927;
BA;ADELFIA;A055;08/11/1927;
CT;ADERNO';A056;17/03/1861;22/08/1929
CT;ADRANO;A056;23/08/1929;
BG;"ADRARA SAN MARTINO";A057;17/03/1861;
BG;"ADRARA SAN ROCCO";A058;17/03/1861;
RO;ADRIA;A059;19/11/1866;
BS;ADRO;A060;17/03/1861;
VR;AFFI;A061;19/11/1866;
RM;AFFILE;A062;15/01/1871;
MI;AFFORI;A063;23/08/1884;13/10/1923
NA;AFRAGOLA;A064;17/03/1861;
RC;AFRICO;A065;17/03/1861;
NO;AGARO;A066;17/03/1861;16/10/1928
PC;AGAZZANO;A067;17/03/1861;
NA;AGEROLA;A068;17/03/1861;
SS;AGGIUS;A069;17/03/1861;31/12/2005
OT;AGGIUS;A069;01/01/2006;27/04/2016
SS;AGGIUS;A069;28/04/2016;
CT;AGIRA;A070;17/03/1861;11/01/1927
EN;AGIRA;A070;12/01/1927;
FI;AGLIANA;A071;09/11/1913;11/01/1927
PT;AGLIANA;A071;12/01/1927;
AL;AGLIANO;A072;17/03/1861;07/04/1935
AT;AGLIANO;A072;08/04/1935;17/03/1995
AT;"AGLIANO TERME";A072;18/03/1995;
TO;AGLIE';A074;17/03/1861;11/01/1927
AO;AGLIE';A074;12/01/1927;04/10/1945
TO;AGLIE';A074;05/10/1945;
PD;AGNA;A075;19/11/1866;
CR;AGNADELLO;A076;17/03/1861;
RC;"AGNANA CALABRA";A077;17/03/1861;
NO;AGNELLENGO;A078;17/03/1861;13/06/1928
NO;AGNONA;A079;17/03/1861;11/01/1927
VC;AGNONA;A079;12/01/1927;05/09/1928
CB;AGNONE;A080;17/03/1861;02/03/1970
IS;AGNONE;A080;03/03/1970;
CE;"VILLA LATINA";A081;24/11/1862;11/01/1927
FR;"VILLA LATINA";A081;12/01/1927;
BS;AGNOSINE;A082;17/03/1861;
BL;AGORDO;A083;19/11/1866;
RM;AGOSTA;A084;15/01/1871;
CO;AGRA;A085;17/03/1861;11/01/1927
VA;AGRA;A085;12/01/1927;
NO;AGRANO;A086;17/03/1861;24/03/1928
MI;"AGRATE BRIANZA";A087;04/02/1869;29/06/2009
MB;"AGRATE BRIANZA";A087;30/06/2009;
NO;"AGRATE CONTURBIA";A088;23/04/1863;
AG;GIRGENTI;A089;17/03/1861;26/07/1927
AG;AGRIGENTO;A089;27/07/1927;
TN;AGRONE;A090;16/10/1920;13/02/1923
TN;AGRONE;A090;14/02/1923;06/03/1928
SA;AGROPOLI;A091;17/03/1861;
AN;AGUGLIANO;A092;17/03/1861;
VI;AGUGLIARO;A093;19/11/1866;
TO;AYAS;A094;17/03/1861;11/01/1927
AO;AYAS;A094;12/01/1927;20/10/1939
AO;AIAS;A094;21/10/1939;29/01/1946
AO;AYAS;A094;30/01/1946;
GO;AIBA;A095;05/01/1921;07/02/1923
UD;AIBA;A095;08/02/1923;11/01/1927
GO;AIBA;A095;12/01/1927;12/03/1928
MI;AICURZIO;A096;04/07/1909;29/06/2009
